Year,Units,general.territorio,Serie,DIM_DES.SERVICIO,Value
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,26.67
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,20.00
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,18.89
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,22.83
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,20.88
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,21.28
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,42.34
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,34.17
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,38.86
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,46.78
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,16.87
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,25.61
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,13.46
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,17.02
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,22.34
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,17.39
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,24.47
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,20.41
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,28.89
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,34.19
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,24.04
