Year,Units,general.territorio,Serie,DIM_DES.TECNOLOGIA_ACCESO,Value
2020,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,3.90
2021,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,2.58
2010,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,3.21
2011,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,3.60
2012,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,3.13
2013,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,2.64
2014,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,2.62
2015,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,3.02
2016,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,3.31
2017,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,3.33
2018,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,2.96
2019,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,2.76
2020,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,2.60
2021,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,2.35
2010,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.12
2011,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.24
2012,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.73
2013,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,1.67
2014,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,3.63
2015,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,6.22
2016,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,10.06
2017,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,14.10
2018,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,19.84
2019,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,25.18
2020,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,28.18
2021,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,30.98
2010,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.00
2011,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.00
2012,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.00
2013,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.10
2014,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.11
2015,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.16
2016,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.38
2017,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.62
2018,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.70
2019,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.77
2020,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.73
2021,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.66
