Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.ACTIVIDAD,Value
2018,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,2.70
2019,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,2.58
2020,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,2.65
2021,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,2.66
2010,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,51.23
2011,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,17.30
2012,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,17.10
2013,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,15.64
2014,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,17.31
2015,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,15.46
2016,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,16.69
2017,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,15.66
2018,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,13.32
2019,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,12.74
2020,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,13.11
2021,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,13.12
2010,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.41
2011,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.34
2012,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.29
